address,referral_code,signed_build_and_earn,signed,total_points,total_ref_points,total_build_points,total_extra_points,total_pendle_points
0x83ff6bb5a1ddb3179aa2a70d917adaa3c05be41b,ruivbo,false,true,67.05147515433958,0.0,0.0,0.0,0.0
0x70fb38d9135dacf484be24497b0bc976650d0b94,f3m23z,false,true,16.129903598277117,0.0,0.0,0.0,0.0
0xde0e14e314ec13cabc21272f9dd27dec0c92b504,sv7x31,false,true,12854.776531411808,0.0,0.0,0.0,0.0
0x18b3804bc976e4c60ec145c1fcbdc0eae53bb634,cl7601,false,true,901.0952450411909,0.0,0.0,0.0,899.596484956675
0xbb42ea6f9ea5e6520f5ff1a17ba79543de463def,hnre97,false,true,29.9658766,0.0,0.0,0.0,0.0
0x9e25a7c394ecc710268778752a95f3f07a4c2a9a,k1wiyi,false,true,44.04773778362846,0.0,0.0,0.0,0.0
0x768804e54679e0a20462416d22dec3fefa5568b3,8mn692,false,true,41.64642391666667,0.0,0.0,0.0,0.0
0x5908df4c5b673d4c0c3666c529f79104700a582e,umelqe,false,true,41.948678911769086,0.0,0.0,0.0,0.0
0xb151dcbafc732646c40760ada8f3b399976066e4,w0ss21,false,true,293.89977032527634,0.0,0.0,0.0,0.0
0x90d14bd8166a25237ca18699cae50cb5ff83b9e7,vpzl7w,false,true,788.1936764960816,0.0,0.0,0.0,0.0
0xff4fac1ee29f0a6f78b14cbc771f34d1406da286,n4f0ig,false,true,1070.1743516427407,0.0,0.0,0.0,0.0
0x4abc8727d363291c7d2235a4050233602a7a006d,6imbdk,false,true,133.56858492782095,10.411473362059276,0.0,0.0,0.0
0x3702d9a9d4dbc6a60210f2b2cbdecdef8bcd69fd,v1by25,false,true,23777.486704419247,0.0,0.0,0.0,0.0
0xcc6c7da5012177fde6f6e0c75c75909077c2f8a0,hk6tmq,false,true,42.35865281913635,0.0,0.0,0.0,0.0
0x8532b891617f4bb1fb6497472e9c0ecc9dac287b,dpw7zu,false,true,1157.6313437113333,0.0,0.0,0.0,0.0
0x53d5b28fc4592a25c1996f106024ea2c709503fe,kbxspo,false,true,76.14796548993311,0.0,0.0,0.0,0.0
0xb6827eb7e790126973a297338b71565585d832c8,0vip2w,false,true,539.476057401965,0.0,0.0,0.0,0.0
0x67a24b65a409734881b55e050fe681dd6a6ab636,e5806i,false,true,0.137204478254,0.0,0.0,0.0,0.0
0xbc0a924f99eda69a2742700561090217dfb762e9,gtx0go,false,true,4.300640737870214,0.0,0.0,0.0,0.0
0xfc72ad77ec89ab3604e7dcdbb2eb461a95805ed7,8or72y,false,true,162.84766666666667,0.0,0.0,0.0,0.0
0x919cf1892cdd97c068e0dfc9ca44f84b543a00f2,b41qr8,false,true,1115.8138294215858,0.0,0.0,0.0,0.0
0x56712264ffd70fccfe0c9f8d491e2f9d618b1fe5,rgabsd,false,true,314.661794802185,0.0,0.0,0.0,0.0
0x22a81deea666b6489ef2710103c122f3148b53fa,7yflvi,false,true,10.699363692863548,0.0,0.0,0.0,0.0
0x23925b49e87b35cf76706e5b3746aaced95e50a7,1crijx,false,true,460.49851761278023,0.0,0.0,0.0,0.0
0x4553dec5804aebe33b66676cb1eb5a275147697a,ysc5tw,false,true,393.97207533333335,0.0,0.0,0.0,0.0
0x7d2aa8c5786cc71c494cf19dd4f4ca35e99544a2,5b0wf8,false,true,415.34061552802666,0.0,0.0,0.0,0.0
0x26072588b1d479717c02bc390cf2beac4471cc3e,dzud4b,false,true,26.176930478764582,0.0,0.0,0.0,0.0
0x116a45d9cd43c16d3835d09c735a69befd447866,rzri5a,false,true,748.9461956360742,22.150067360752416,0.0,0.0,0.0
0xcecd14f243ffcf0fc01419baf2a8221fdf7646e1,3hhz0j,false,true,139.97595366723786,0.0,0.0,0.0,0.0
0xd5415f77eeb302cfe687835e57222b84c903ebb6,qns95m,false,true,10.731002905906527,0.0,0.0,0.0,0.0
0xd43378ffe9371906f171cbae1656471e949ac490,spg0ep,false,true,159.226282347025,0.0,0.0,0.0,0.0
0x529b74cbe6ae14c985e87dc7c570f2ba6a8c30ea,dzuc0z,false,true,210.328031758494,0.0,0.0,0.0,0.0
